"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
439,"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=698-acceptability=1","The patients sometimes obviously explain that the senator jokes around.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=1022-acceptability=1","The cashiers who hardly explore those malls do buy couches.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1456-acceptability=1","The patients wonder whether the cashier should clean shoes.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=698-acceptability=1","The patients sometimes obviously explain that the senator jokes around."
440,"experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=1-npi_present=0-paradigm=909-acceptability=1","A lot of women who did bike to the art galleries talk about museums.","experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=1-npi_present=0-paradigm=909-acceptability=1","A lot of women who did bike to the art galleries talk about museums.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=1022-acceptability=1","The cashiers who hardly explore those malls do buy couches.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1456-acceptability=1","The patients wonder whether the cashier should clean shoes."
441,"experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=63-acceptability=1","The customers fortunately said that the man hardly does perform.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=644-acceptability=0","The patients would ever imagine that no customers are touring the hospitals.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5606-acceptability=0","Any cashiers could imagine that these shoes might not resemble the movies.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=775-acceptability=1","The waiters wonder whether the cashier ever has respected the public parks."
442,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=644-acceptability=0","The patients would ever imagine that no customers are touring the hospitals.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5606-acceptability=0","Any cashiers could imagine that these shoes might not resemble the movies.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=775-acceptability=1","The waiters wonder whether the cashier ever has respected the public parks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=63-acceptability=1","The customers fortunately said that the man hardly does perform."
443,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5606-acceptability=0","Any cashiers could imagine that these shoes might not resemble the movies.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=63-acceptability=1","The customers fortunately said that the man hardly does perform.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=644-acceptability=0","The patients would ever imagine that no customers are touring the hospitals.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5606-acceptability=0","Any cashiers could imagine that these shoes might not resemble the movies."
444,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=775-acceptability=1","The waiters wonder whether the cashier ever has respected the public parks.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=775-acceptability=1","The waiters wonder whether the cashier ever has respected the public parks.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=63-acceptability=1","The customers fortunately said that the man hardly does perform.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=644-acceptability=0","The patients would ever imagine that no customers are touring the hospitals."
445,"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=2-acceptability=0","While the waiters pass the high schools, the dancers will ever sell the chairs.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1897-acceptability=1","The ladies even did exit the banks.","experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=0-paradigm=1422-acceptability=1","Those cashiers were admiring the longest newspaper article that waiters had bought.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=753-acceptability=0","The girls ever escape from the popular grocery store that the students had talked about."
446,"experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1897-acceptability=1","The ladies even did exit the banks.","experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=0-paradigm=1422-acceptability=1","Those cashiers were admiring the longest newspaper article that waiters had bought.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=753-acceptability=0","The girls ever escape from the popular grocery store that the students had talked about.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=2-acceptability=0","While the waiters pass the high schools, the dancers will ever sell the chairs."
447,"experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=0-paradigm=1422-acceptability=1","Those cashiers were admiring the longest newspaper article that waiters had bought.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=2-acceptability=0","While the waiters pass the high schools, the dancers will ever sell the chairs.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1897-acceptability=1","The ladies even did exit the banks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=0-paradigm=1422-acceptability=1","Those cashiers were admiring the longest newspaper article that waiters had bought."
448,"experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=753-acceptability=0","The girls ever escape from the popular grocery store that the students had talked about.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=753-acceptability=0","The girls ever escape from the popular grocery store that the students had talked about.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=2-acceptability=0","While the waiters pass the high schools, the dancers will ever sell the chairs.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1897-acceptability=1","The ladies even did exit the banks."
449,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=220-acceptability=1","The senators say that the woman also does clean the reports.","experiment=NPI-env=superlative-npi=any-crucial_item=old-licensor=0-scope=1-npi_present=1-paradigm=1631-acceptability=0","The high schools resemble the old pedestrian that any ladies have talked about.","experiment=NPI-env=superlative-npi=ever-crucial_item=smallest-licensor=1-scope=0-npi_present=1-paradigm=757-acceptability=0","A dancer ever respects the smallest public park that the senator has been at.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1767-acceptability=0","The guests who have always listened to any adults have kissed men."
450,"experiment=NPI-env=superlative-npi=any-crucial_item=old-licensor=0-scope=1-npi_present=1-paradigm=1631-acceptability=0","The high schools resemble the old pedestrian that any ladies have talked about.","experiment=NPI-env=superlative-npi=ever-crucial_item=smallest-licensor=1-scope=0-npi_present=1-paradigm=757-acceptability=0","A dancer ever respects the smallest public park that the senator has been at.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1767-acceptability=0","The guests who have always listened to any adults have kissed men.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=220-acceptability=1","The senators say that the woman also does clean the reports."
451,"experiment=NPI-env=superlative-npi=ever-crucial_item=smallest-licensor=1-scope=0-npi_present=1-paradigm=757-acceptability=0","A dancer ever respects the smallest public park that the senator has been at.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=220-acceptability=1","The senators say that the woman also does clean the reports.","experiment=NPI-env=superlative-npi=any-crucial_item=old-licensor=0-scope=1-npi_present=1-paradigm=1631-acceptability=0","The high schools resemble the old pedestrian that any ladies have talked about.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=smallest-licensor=1-scope=0-npi_present=1-paradigm=757-acceptability=0","A dancer ever respects the smallest public park that the senator has been at."
452,"experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1767-acceptability=0","The guests who have always listened to any adults have kissed men.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1767-acceptability=0","The guests who have always listened to any adults have kissed men.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=220-acceptability=1","The senators say that the woman also does clean the reports.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=old-licensor=0-scope=1-npi_present=1-paradigm=1631-acceptability=0","The high schools resemble the old pedestrian that any ladies have talked about."
453,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=324-acceptability=1","The doctors also wonder whether the pedestrian has remembered the actresses.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1156-acceptability=1","The boys wonder whether the customer is at the hospitals.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1948-acceptability=1","While the teachers criticize the newspaper articles, the waiter will see the books.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=292-acceptability=0","A customer was really ever thinking that the senator had performed."
454,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1156-acceptability=1","The boys wonder whether the customer is at the hospitals.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1948-acceptability=1","While the teachers criticize the newspaper articles, the waiter will see the books.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=292-acceptability=0","A customer was really ever thinking that the senator had performed.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=324-acceptability=1","The doctors also wonder whether the pedestrian has remembered the actresses."
455,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1948-acceptability=1","While the teachers criticize the newspaper articles, the waiter will see the books.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=324-acceptability=1","The doctors also wonder whether the pedestrian has remembered the actresses.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1156-acceptability=1","The boys wonder whether the customer is at the hospitals.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1948-acceptability=1","While the teachers criticize the newspaper articles, the waiter will see the books."
456,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=292-acceptability=0","A customer was really ever thinking that the senator had performed.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=292-acceptability=0","A customer was really ever thinking that the senator had performed.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=324-acceptability=1","The doctors also wonder whether the pedestrian has remembered the actresses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1156-acceptability=1","The boys wonder whether the customer is at the hospitals."
457,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1118-acceptability=1","Those men say that the actress was watching the waiters.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=0-paradigm=77-acceptability=1","The patient might talk to the happy guys that the women had often praised.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=598-acceptability=0","The customers might ever explain that no libraries resemble the cup.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=672-acceptability=0","The drivers have ever thought that the commentaries should not win."
458,"experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=0-paradigm=77-acceptability=1","The patient might talk to the happy guys that the women had often praised.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=598-acceptability=0","The customers might ever explain that no libraries resemble the cup.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=672-acceptability=0","The drivers have ever thought that the commentaries should not win.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1118-acceptability=1","Those men say that the actress was watching the waiters."
459,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=598-acceptability=0","The customers might ever explain that no libraries resemble the cup.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1118-acceptability=1","Those men say that the actress was watching the waiters.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=0-paradigm=77-acceptability=1","The patient might talk to the happy guys that the women had often praised.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=598-acceptability=0","The customers might ever explain that no libraries resemble the cup."
460,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=672-acceptability=0","The drivers have ever thought that the commentaries should not win.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=672-acceptability=0","The drivers have ever thought that the commentaries should not win.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1118-acceptability=1","Those men say that the actress was watching the waiters.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=0-paradigm=77-acceptability=1","The patient might talk to the happy guys that the women had often praised."
461,"experiment=NPI-env=superlative-npi=ever-crucial_item=newest-licensor=1-scope=0-npi_present=1-paradigm=416-acceptability=0","The children will ever boycott the newest public park that the man had walked through.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1864-acceptability=0","Even the people have arrived at any public parks.","experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=1-npi_present=0-paradigm=1372-acceptability=1","The children skate around the cheap public parks that those men have driven to.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1244-acceptability=1","If the those girls the hate, the waiters will dancers talk about essays."
462,"experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1864-acceptability=0","Even the people have arrived at any public parks.","experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=1-npi_present=0-paradigm=1372-acceptability=1","The children skate around the cheap public parks that those men have driven to.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1244-acceptability=1","If the those girls the hate, the waiters will dancers talk about essays.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=newest-licensor=1-scope=0-npi_present=1-paradigm=416-acceptability=0","The children will ever boycott the newest public park that the man had walked through."
463,"experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=1-npi_present=0-paradigm=1372-acceptability=1","The children skate around the cheap public parks that those men have driven to.","experiment=NPI-env=superlative-npi=ever-crucial_item=newest-licensor=1-scope=0-npi_present=1-paradigm=416-acceptability=0","The children will ever boycott the newest public park that the man had walked through.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1864-acceptability=0","Even the people have arrived at any public parks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=1-npi_present=0-paradigm=1372-acceptability=1","The children skate around the cheap public parks that those men have driven to."
464,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1244-acceptability=1","If the those girls the hate, the waiters will dancers talk about essays.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1244-acceptability=1","If the those girls the hate, the waiters will dancers talk about essays.","experiment=NPI-env=superlative-npi=ever-crucial_item=newest-licensor=1-scope=0-npi_present=1-paradigm=416-acceptability=0","The children will ever boycott the newest public park that the man had walked through.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1864-acceptability=0","Even the people have arrived at any public parks."
465,"experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=951-acceptability=0","The teenagers referenced the happy actresses that the person has ever known.","experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=1838-acceptability=1","The customer who scarcely did criticize those doctors helped dancers.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1667-acceptability=1","Had the teenager toured the movie theaters?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=999-acceptability=1","The customers could really see even the reports."
466,"experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=1838-acceptability=1","The customer who scarcely did criticize those doctors helped dancers.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1667-acceptability=1","Had the teenager toured the movie theaters?","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=999-acceptability=1","The customers could really see even the reports.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=951-acceptability=0","The teenagers referenced the happy actresses that the person has ever known."
467,"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1667-acceptability=1","Had the teenager toured the movie theaters?","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=951-acceptability=0","The teenagers referenced the happy actresses that the person has ever known.","experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=1838-acceptability=1","The customer who scarcely did criticize those doctors helped dancers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1667-acceptability=1","Had the teenager toured the movie theaters?"
468,"experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=999-acceptability=1","The customers could really see even the reports.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=999-acceptability=1","The customers could really see even the reports.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=951-acceptability=0","The teenagers referenced the happy actresses that the person has ever known.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=1838-acceptability=1","The customer who scarcely did criticize those doctors helped dancers."
469,"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=191-acceptability=0","If the waitresses exit the malls, the woman will ever bike to the banks.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=469-acceptability=1","The actresses wonder whether the patient ever kisses the guests.","experiment=NPI-env=superlative-npi=any-crucial_item=small-licensor=0-scope=1-npi_present=0-paradigm=1501-acceptability=1","The stories resemble the small books that this fish has cleaned.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=1971-acceptability=1","Some waiters who would criticize many banks have obviously observed boys."
470,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=469-acceptability=1","The actresses wonder whether the patient ever kisses the guests.","experiment=NPI-env=superlative-npi=any-crucial_item=small-licensor=0-scope=1-npi_present=0-paradigm=1501-acceptability=1","The stories resemble the small books that this fish has cleaned.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=1971-acceptability=1","Some waiters who would criticize many banks have obviously observed boys.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=191-acceptability=0","If the waitresses exit the malls, the woman will ever bike to the banks."
471,"experiment=NPI-env=superlative-npi=any-crucial_item=small-licensor=0-scope=1-npi_present=0-paradigm=1501-acceptability=1","The stories resemble the small books that this fish has cleaned.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=191-acceptability=0","If the waitresses exit the malls, the woman will ever bike to the banks.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=469-acceptability=1","The actresses wonder whether the patient ever kisses the guests.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=small-licensor=0-scope=1-npi_present=0-paradigm=1501-acceptability=1","The stories resemble the small books that this fish has cleaned."
472,"experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=1971-acceptability=1","Some waiters who would criticize many banks have obviously observed boys.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=1971-acceptability=1","Some waiters who would criticize many banks have obviously observed boys.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=191-acceptability=0","If the waitresses exit the malls, the woman will ever bike to the banks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=469-acceptability=1","The actresses wonder whether the patient ever kisses the guests."
473,"experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1818-acceptability=1","The teenagers even drove to the schools.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=1-npi_present=0-paradigm=685-acceptability=1","A waiter who described the guests will help a lot of waiters.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=226-acceptability=1","Would the cashier ever dislike the children?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=most popular-licensor=1-scope=1-npi_present=0-paradigm=1334-acceptability=1","The grocery stores resemble the most popular newspaper articles that these students had hated."
474,"experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=1-npi_present=0-paradigm=685-acceptability=1","A waiter who described the guests will help a lot of waiters.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=226-acceptability=1","Would the cashier ever dislike the children?","experiment=NPI-env=superlative-npi=any-crucial_item=most popular-licensor=1-scope=1-npi_present=0-paradigm=1334-acceptability=1","The grocery stores resemble the most popular newspaper articles that these students had hated.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1818-acceptability=1","The teenagers even drove to the schools."
475,"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=226-acceptability=1","Would the cashier ever dislike the children?","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1818-acceptability=1","The teenagers even drove to the schools.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=1-npi_present=0-paradigm=685-acceptability=1","A waiter who described the guests will help a lot of waiters.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=226-acceptability=1","Would the cashier ever dislike the children?"
476,"experiment=NPI-env=superlative-npi=any-crucial_item=most popular-licensor=1-scope=1-npi_present=0-paradigm=1334-acceptability=1","The grocery stores resemble the most popular newspaper articles that these students had hated.","experiment=NPI-env=superlative-npi=any-crucial_item=most popular-licensor=1-scope=1-npi_present=0-paradigm=1334-acceptability=1","The grocery stores resemble the most popular newspaper articles that these students had hated.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=0-npi_present=0-paradigm=1818-acceptability=1","The teenagers even drove to the schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=1-npi_present=0-paradigm=685-acceptability=1","A waiter who described the guests will help a lot of waiters."
